1:6	"lei e xion"
39:5	"mm? tyu alk non siina?"
39:16	"leev"
39:27	"tyu yol flen tutu, xion"
40:19	"xion, tyu leev fonl atu mil si ra sete. tu et lami e"
41:3	"xidia flen atu mil non laf tu ez a tyu fien, xink, tu at ez e kaan noan"
41:7	"yol flen tu mokt"
41:10	"ep? tyu xidia map,?? fien tur et lit fenzel tis"
41:13	"passo, passo. xidia flen im tur ol lax. tyu lunas i fia alt sete? non xar tyu na ani tintin"
41:15	xidia
41:16	xidia
41:18	"tyu ar sen kuki atu"
41:20	"tu et to? le et to? tu? le?"
41:21	"io et passo... aa... tyu ser lan vetyolom na. ya, son tu, im tur, tu!"
41:25	tu et to?
41:26	"kuki"
41:27	"tu et kuki?"
41:28	"tia"
42:6	xidia
52:15	xidia
54:9	"soonoyun, xion"
54:11	"soonoyun, lein?"
54:16	"ou, tyu alk non siina?"
54:24	"ren fatil xaki o gels... aa"
54:28	"diittemk"
54:30	xaki, fapx,
55:1	gels, xakn
55:6	"milx tyu rens sen arka. hai tyu te lua xion sete. non xaklat tu im toxel"
55:9	"tet tu et ilpasso. alfi, non sent tyu tiinal olta tyu te lua xion mil tyu alkat non siina"
55:17	"al karte"
55:22	"al karte"
55:23	"len, tyu tan et artist xan"
55:25	pof
55:27	"atx?"
55:29	"alfi... tyu siina xoi tuul? tee, tyu en ser arka. son tyu alna vil tu tan sin. saa, saa, non to ax
55:30	eyo..."
56:6	"ag, yaamo!"
56:9	"aaatx!!"
56:11	"ya, yaamo, yaamo!"
56:15	atx, yaamo
56:20	"atx pof? pof atx?"
56:21	"pof atx. pof atx et tia"
56:29	"tyu okt lan to?"
57:4	"asp... evit sete"
57:12	"xakn xakn "
57:14	"pof pof "
57:16	"aa! alna!"
57:20	"tu et pof kai. yan tu et pof lis""kok tutu, tu et xakn kai. yan tu et xakn
57:21	lis"
58:4	"mm?"
58:6	"a..."
58:18	"kaxa, kaxa?"
58:24	"mm... tu et kaxa e fia tuan sete? see tyu lunas i tu kad in. len tyu lunas i fia alt"
58:26	"tee, tu te fia
58:27	noan"
59:26	"mm?"
60:24	"aa... m? atu? atu et arbazard"
60:26	"arbazard, arbazard"
60:30	"arbazard"
61:3	arna
61:8	"arna?""ya, atu et arna"
61:11	"atu et kateej?""tia"
61:13	"atu et to?"
61:14	"atolas"
61:15	"atu et to?"
61:16	"tee, tee, en atu. tu et lei"
61:22	"atu et to?""vark"
61:25	"nee"
61:28	"tu et fia tuan?"
62:1	"passo? tu et fia noan, atolas. aaatolas, fia noan"
62:7	fia tuan et atolas
62:8	"ya, fia noan et atolas. see fia tuan et to?"
62:12	nonnoan
62:14	"tu et lei xion?"
62:15	"ya, lei tuan"
62:16	lei xion? lei lein?
62:17	"ya, tu et lei tuan. en lei noan. lala es tyu rensand lei e xion lei e xion..."
62:19	lei xion? lei e xion?
62:22	"alna, tyu ser lan vetyolom e "e" sete. qm, lei e xion et tia. lei e xion, lei eeeee xion"
62:24	"lei e xion "
62:27	"hai, tyu en xax est e fia tuan sete. saia, tet non ser lan fi on tyu, xion"
62:30	nee
63:1	"to?"
63:3	"to?"
63:15	"kit, tyu xir arka. son... non to ax eyo"
63:19	"tua, klel fiina tyu"
63:24	"mel 407, diaklel t'arbazard"
63:29	"yuliklel"
64:4	instem
64:6	"ren in"
64:7	ren in et to?
64:11	"ren et to?"
64:12	"non ret a tyu yul tyu in tu... xif sete...?"
64:13	"non luk"
64:15	"non lef"
64:16	"re lef!"
64:17	"ax, an lef!"
64:19	reren
64:20	rereren
64:22	"lein, re lef"
64:24	re
64:25	"xion, tyu rens ax en re tet ren. ren lef, ren lef"
64:26	ren lef
64:29	luk
64:30	"lein, ren luk"
65:1	ren
65:3	"hqq, na ani. fians fan a. kes, non xax ax to eyo"
65:4	axt
65:6	"axt sat, axt sat"
65:8	"axt kit"
65:9	"axtor"
65:12	"axtik"
65:13	lein"axtes"
65:17	axtes
65:24	axtor, axtik, axtes
65:29	"tur"
66:1	"ses, sil"turses
66:2	sil
66:3	"xen tur"
66:6	"xen tur?"
66:7	"ya, ya"
66:11	"xen tur"
66:12	"xen ses""xen sil"
66:14	sil
66:16	xen ses = xenat
66:19	at
66:21	turtur
66:28	"tu et an, lein"
66:29	"etto?"
67:2	"melka, limel. tu et fiina ti"
67:6	"melka. see sentant on tuumi vank"
67:12	"non nat tyu aror filnian ka fi kad melt"
67:13	"mon anot a. tal tu salt, an xal atu fiina ti, alfi... ist la"
67:14	"..."
67:16	"hei, ans ke--"
67:18	"ou"
67:19	"pentant yunk, an en xaklat ti xa atu. mir xilhi an at xille"
68:1	"arxe, arxe alteems. anestol"
68:5	"non et xion, anestol"
68:11	"tu et imyu xel lein meld semaim a ra. xink, an lunak atu lana xiit lu a xelk. ol ti ris elf tu,
68:12	son ans ke das ok xok?"
68:17	"pin etto, lena et vokka im tur ento tyu na ax ban tatta lena e..."
68:18	"passo, son fit kap al an im tiis em vek a"
68:23	"haa, non nat nik mil tyu wit a la ranel. len tyu et lexe ter. hai, la et arxe, salan noan tisse,
68:24	fien tyu alna vil tu"
68:26	"dina, non pinat lena xelk kokko etto. non lo la xakl sil tyu te arban, tet tu et passo mil la siina
68:27	soa kul na. diin non xax fan arka du fein kalt tu. kes, non xax fan freyu"
69:3	"den in""ax, an en in"
69:5	den
69:7	"tur non ransik den, son kes, to eyo"
69:8	tes, ket, xal, sol
69:13	"tur non miksik"
69:14	miks
69:15	"ren miks"
69:17	"son, tyu miks vil"
69:19	"tyu miks vil"
69:20	"non miks sen, ya?"
69:22	"tal, tyu miks vil"
69:28	"alna? son, miks xiit"
69:30	"non miks. yan tyu ren miks"
70:4	"luk xiit"xiit
70:7	"tu et atx"
70:9	"tu at atx"
70:11	at
70:13	etetetatat
70:14	"hai, tu pof et yaamo"
70:18	"son, non xen rin tu"
70:20	"tal tu et atx"
70:22	tal
70:23	"son non xen lan tu"
70:27	sen
70:29	"tur, tyu felik 4 freyu teu sen, vil, lan, rin"
71:1	"407""tyu isk vil. non isk sen"
71:3	"lein, isk et to?"
71:4	"aa, non xax ax teelvet na"
71:7	t k
71:8	x s
71:9	n m
71:10	v b
71:11	f p
71:12	d g
71:13	y w
71:14	c l
71:15	r l
71:16	z j
71:17	a i
71:18	o e
71:21	"aaaaaaaa, xxxxxxxxxxxxxx, ttttttttttttttt"
71:23	a, x, taxt
71:26	aixst
71:27	kisk
71:28	axtisk
72:4	"non isk"
72:8	"tyu alna eks t'isk,? az tyu xir ova fein e?"
72:10	"tu et lat"
72:12	"yan tu et rik"
72:13	latrik
72:14	latrik
72:20	kaitialis
72:23	"407""tyu isk vil. non isk sen"
72:24	isk
72:25	sen
72:27	sen
72:29	sen"miks sen""miks vil"
73:7	lanrin
73:9	"ya, non isk vil tu, lein"
73:12	"tyu xen lan tu pof?"
73:13	"a... ya"
73:14	"son, tyu xen flen tu"
73:15	flensen
73:16	flen
73:20	flen
73:26	"tu et to?"
73:28	"tyu met pof"
73:30	"non met
74:1	flen hat?"
74:2	"tee, hao, tyu met xin hat"
74:8	xinxin
75:18	"xiiiiii...!"
75:27	"see non xax fan freyu alt e"
75:29	"tyu na sort?"
76:1	"sort et to?"
76:3	"ane, lisikane"
76:6	"ya, leev, tyu hom flen diittemk"
76:7	flen
76:8	hom
76:10	"ane?"
76:11	"ya, ane... rebane"
76:14	"hai, tutu ane et diit. diit"
76:16	"yan, vext et sort"
76:22	"sorttemk?"
76:23	diitsort
76:26	fai
76:28	"fai et sort?"
76:30	"hao, tee, fai et hart"
77:2	hart
77:5	"hart?"
77:6	"ya"
77:7	"to?""melt"
77:12	"tyu na sort?"
77:13	sort
77:17	"tyu na ane?"
77:20	"tyu na sort? lein"
77:21	"ya, tyu tan na sort?"
77:24	"ya, non na sort"
77:25	"son tyu deyu dia tems?"
77:29	dia '
78:1	non
78:3	"lein, tyu na sort?"
78:4	"ya"
78:5	"son, son, non deyu dia tems?"
78:6	"ya, ret"
78:7	"non deyu dia"
78:9	"sent"
78:14	paper
78:15	er
78:18	"tur, er xa pap"
78:20	"lei xa elen"
78:25	"er mi pap"
79:4	"er!"
79:6	"lein, tu xen lan er?"
79:7	"tee, en tu. lu. lu xen lan er"
79:8	tulu
79:9	luen
79:12	"lein, tu et en elen?"
79:13	"ya, tu te elen tet pof"
79:14	en
79:16	te
79:17	en et
79:18	en et = te
79:19	en et = de
79:21	an, ti, denon, tyu, te
79:22	tedede
79:23	te
79:25	"son, lu xen lan er?"
79:27	"ya. yan, im tikno""lu xen rin er"
79:29	"tal, im kalzas""lu xen lan er. lu xen fal er"
79:30	falrinlan
80:1	fal
80:10	"hai, non axt fan freyu wen le nan xaxes a tyu. diin tisoa"
81:7	at
81:8	tur
81:9	sil
81:17	sat
81:18	kit
81:19	or
81:20	ik
81:21	es
82:10	xiit
82:11	dia
82:12	flen
82:13	xin
82:22	lan
82:23	rin
82:24	sen
82:25	vil
82:33	re
82:34	den
83:3	"haa! hac luut et myul a mana xan. lol lol an!"
83:9	"nee, xion. tutu et hac t'eld tuan?"
83:11	tu et nihongo, tu
83:12	et kanji
83:13	"qm... ? tu et myul a harma in, fien tu et ikal fein. xom len el jins fan tu lex mana
83:14	nod harma na"
83:17	nee, tu et xion.
83:19	"xion...? tu hac kim yunen xal et "xi" eyo? non lo... tu hac eks veel kok yula e"
83:21	"hqmm, tu hac et xep on axt. it am el axt ax tu?"
84:6	at
84:15	"to?"
84:20	tur, non... to?
84:21	"aa, aa, tur, tyu rens?"
84:28	"lein. tes, ket, xal, sol.... tur, non to?"
84:29	"tyu rensik hacm"
84:30	, ,
85:3	"lein, ren rens tu hacm"
85:4	m
85:5	"mir. tu et mir"
85:8	"non to?"
85:9	"tee, tee, tyu mox xin las kol a tem kol hot mil tu eks "an ter vil
85:10	ti". son tyu yol fal las io a tem io yun soa"
85:12	"tyu ter"
85:20	"navn!"
85:30	"lein, lu rens to?"
86:1	"en ser. lu rens eld tuan sete. ap, tet tu hac eks "oo" e?"
86:5	eld tuan
86:8	"axt flen?"
86:9	"soonoyun"
86:11	"lu rens eld tuan?"
86:12	"ya, lu rens eld lenan"
86:13	lenan et to?
86:14	"lenan... aa, ova..."
86:15	nontyu
86:16	lena
86:20	"son... lein, eld tuan et to? arbazardeld?"
86:21	"tu tan et tia. tal tu et arka"
86:26	"ya"
86:27	"eld tuan et arka?"
86:28	"ya, arka"
87:1	"eld e lutia et to?"
87:2	"tiaren, arka"
87:11	axtisk
88:17	"xion, in"
88:21	"kit, non xax ax alx palmel"
88:23	0, 1, 2, 3, 4, 5, 6, 7, 8, 9
89:2	yuu, ko, ta, vi, val, lin, kis, nol, ten, los
89:3	l, n, s
89:4	ononkogal,kot,
89:5	senkosensen
89:7	'
89:8	,'sen takot vigal valon lin
89:12	, , , , , , ,
89:14	"tu et rang, ko solt"
89:15	1
89:17	25 solt
89:23	"to solt? to solt?"25'0000 solt
90:1	"papa nektates gil atu. non o papa hot ser tu e"
90:5	?
90:18	"passo... tu et saia e... tet, non pent papa mil vanot vil gil laat nyam..."
90:26	"kes, non xax lan isti. non axt eda i tur. son ren in ranel, ren mal, passo?"
90:27	an, ti, lu, tu, le, to
91:1	isti
91:2	asm
91:3	ilm
91:4	vaik
91:5	xek
91:6	fik
91:7	jig
91:8	yuu
91:9	apia
91:10	kum
91:11	ne
91:12	illan
91:13	veilan
91:14	xelan
91:15	filan
91:16	wellan
91:17	yuulan
91:18	mol
91:19	luni
91:20	to
91:21	iltul
91:22	veitul
91:23	xetul
91:24	fitul
91:25	weltul
91:26	yuutul
91:27	mol
91:29	anapia
91:30	tiapia
91:31	luapia
91:32	elapia
91:36	frem:lu
91:39	el
91:46	apiaisti
91:47	kum
91:48	an
91:49	ti
91:51	luni
91:56	flon:la
91:57	frem:tu
91:58	flon:le
92:8	axtisk
92:9	f
92:16	non
92:19	lula
92:23	apiaistiistiapiaisti
92:25	apia
92:26	molapia
92:27	isti
93:7	"lein, tu... tee, tee, lu et ne?"
93:8	"lu et ca aster, mirok. aster mirok yutia"
93:11	"nee, lein, non et ne?"
93:12	"tyu et xion"
93:13	"ya, son, tyu et ne?"
93:16	"non et lein, lein yutia"
94:3	"nee, tyu tan til rast sete? xalet tu te amanze nonno?"
94:5	"lein yutia" ????
94:7	non et xion hazki
94:8	hadzukihazki
94:17	kumlan
94:18	lunitul
94:19	ilil
94:20	vei
94:22	xexe
94:26	"xion, tyu xen lan wel?"
94:28	wel
95:2	"lein, tyu xen lan wel?"
95:3	"saa, non lax lisikane"
95:4	welwel
95:7	"lax et to?"
95:8	"aa... mm... tyu xen lan pof. son tyu lax pof. yan, tyu xen lan ane. son tyu lax ane. yan, tyu isk
95:9	lan lei. son tyu lax lei"
95:10	non lax le melk... tia?
95:11	"ya, tia. el rens sen tu"
95:12	lax
95:14	tyuel
95:15	tyu
95:16	el
95:19	welyuu
95:21	"haa, tyu alna vadel, xion"
95:27	"son, kes et ayua. sa tu... le. ya, xion, in"
95:30	"lu et vien. yan lu et ivn"
96:5	"tu et vien?"
96:6	"ya, vien"
96:8	"tu et xelf. tur, tyu badik elen vienel"
96:10	"non badik elen"
96:12	"yan, tyu badat elen vienel"
96:16	"non badik elen ivnel?""ya, soa e"
96:17	"el em l ol tu xike vet le til vesto on het ova kail telen kai. tet tyu loki vil non e..."
96:19	el
96:22	"non lukor"
96:23	"tyu xal atu sete? xom tyu rens ax, tio, non luk. tet... vinsa. kokka kakko"
96:24	"non toor?"
96:25	"tee, en non toor tet non tor"
96:26	non toornon tor
96:27	toortorortorto
96:28	r
96:29	toorr
97:2	"non tor?"
97:3	"tyu luk taxel"
97:5	"lein, ren axt, non lukor taxel"
97:6	"non lukor taxel"
97:7	"non luk taxel"lukor
97:8	lukoror
97:13	"sef kaz a non"
97:16	ren
97:17	"hqmm... lala es lu hol kaz tis ka el eyo. kamil, tuube maip te xille on kad luut na"
97:18	a non et to?
97:20	"tu et a non. aa, yan tur, non sef tu a tyu"
97:23	"non sef tu a tyu, et, tyu mix tu i non"
97:26	et
98:1	"mm... kes, non xax ax to eyo. ya, tu"
98:2	"est noan et lein yutia"
98:4	"sol est noan et yul lein yutia"sol, yul
98:6	"non et lein. sol non et yul lein. yul lein et sol non"
98:11	"lein, sol non badat yul elen, tia?"
98:12	"tia, tyu rens sen tu"
98:16	a, i, sol, yul"tu et to?"
98:17	"tee, tee, tyu rens ax tutu et to?"tututu
98:18	an, tuus
98:19	non, tutu
98:20	tutututuus
98:22	a, i, sol, yul"tutu et to?"
98:23	"tutu et pea"
98:27	"xion, in"
99:1	ra
99:3	"lein rens arka ok xion kon klel ka ra im fenzel"
99:5	"wel et pea,? lein"ok, kon, ka, im
99:8	"im fenzel""im miv 10"
99:10	miv
99:11	im
99:12	okkon
99:14	kaim
99:18	"aa, it etto xan. lena leev ax im tur"
99:22	tu et to?
99:23	"tu et anse tisse"
99:26	"xion, non xar tyu en alna to et to, tet lena kor fan kacte lana akt arxe"
100:7	"eg, hel, tyu xir lasl"
100:9	"apen, non. mm... tet tyu til luwa l'et myul a noan on tus. xom tyu ren yol dials noan"
101:12	"qm..."
101:14	"ti ke sil felka fin tu et melselnian?"
101:30	"nad elf e, xion. mon lu na nik on tyu et yumanan. tet tu te yet ter. rafa, lu xant fan anse
102:1	a tyu im kest ter"
102:29	"tyu alnat pea tuvalel in. xom kes et arki e"
102:30	"lein xa ra. xion tan xa ra. son lein o xion xa ra"
103:2	o
103:4	"tyu lax wel,? lisik az
103:5	miik"
103:7	"wel?"
103:11	oaz"tutu et arki"
103:12	tur, non rens to? en ya
103:13	"a, tyu rens ax alna im tur"
103:14	alnaarna
103:19	"rulel lu en ser arka in"
103:20	"len?"
103:21	"ti et axk a xax ter, lein"
103:22	"soa e? eheh"
103:25	"qp, non xax ax le tan eyo"
103:28	ket"non ser
103:29	min. lu siina ket"
104:1	"siina et to?"
104:2	"a... ova non siina miik"
104:3	"tet non sin veliz..."
104:7	"lein, tyu siina lisik?"
104:8	"ya"
104:10	"son, tyu siina... a... diittemk?"
104:11	"jins vil"
104:13	"non en ser nan siina diittemk az"
104:17	"son, tyu siina non?"
104:18	"ya, non siina tyu, xion"
104:23	"jolk""non ser min. lu siina ket""non ser
104:24	min le siina ket"
104:27	lele
104:29	"non in lei le xa elen""tia?"
104:30	le
105:1	"non ser min. vik siina lu min""non ser min le vik siina"
105:3	le
105:4	le
105:7	"non inat min. non fitat miik a lu""non inat min le nan fit miik
105:8	al"
105:10	alaal
105:12	alminle
105:13	lele
105:14	fitatfit
105:21	"to?"
105:22	sesses
105:23	"non in min im tur. non fitat miik a lu im ses""non in min le non fitat miik al"
105:25	"tia?"
105:26	"tia"
105:29	"lu et min. non mixat miik i lu min. lu et min le non mixat miik it"
106:1	le
106:2	iitaal
106:3	iitaal
106:4	"tu et las noan le non badik elen kon"
106:5	"ya, tia, tyu et lexe"
106:15	.
106:19	"hacm et to?"
106:21	"hacm et pit e hac... a, tyu asmik "tutu hacm et to?" sete. see tutu hacm et armiva"
106:24	"ya, tutu hacm et armiva"
106:25	c
106:28	tutu hacm
107:1	miv
107:3	"luan et 12 mirok"
107:5	"lu o lu. son luan"
107:6	luanlu
107:10	"armiva et mirok le vasat teems im vaste"
107:15	"teems et to?ne"
107:16	"lu et... rans sen en sofel... daiz e deem... tu et xif na"
108:10	"lein, est luan et to?"
108:11	"est luant tisse"
108:12	luanluant
108:15	"seinels, tiitel, poen, nermes, kleevel, kalzas, varfant, varzon, tikno, fenzel, nebra, konoote"
108:26	"mm?"
108:27	"tu, tu et lei e xion"
109:5	seinels
109:6	tiitel
109:7	poennermes
109:12	kleevel
109:13	kalzas
109:14	varfantvarzon
109:19	tiknofenzelnebra
109:20	konoote
109:23	"lein, lu sislik arka tuvalel?"
109:24	"on vez, ya"
109:25	"son ans sins ax dipit onen tu kad. el sin vez tis man tuube et buuna"
109:26	"xam tyu, arxe. mon vez et buuna, see tu et volx tiina lana alna les lena xook"
109:27	"axma"
109:29	"son ans ke am sei. fral ate et deyu im fis mil melsel. son felka et ak?"
109:30	"tet yuu xa lyu e"
109:31	"soa onna"
109:34	"nee, kuim soonoyun et to on eld luut"
109:35	"mm? kuim on tu, non en ser a. xion"
109:37	"soonoyun et to on eld tuan?"
110:5	tu et konnitxiwa
110:6	"kon...nitxiwa?"
110:7	"ya ya"
110:8	"tu eks to?"
110:9	eks
110:11	"eks et to?"
110:17	l
110:18	"ti isk sen tu hac?"
110:20	"ya, tu et lex"
110:21	"son "l" eks lex. lex eks "l". lex eks tu hac"
110:22	eks
110:24	konnitxiwa eks
110:25	"kyooyo?"
110:27	"aa, kyooyo eks fis xan, etto"
110:28	fis
110:29	"hqm? fis? ala tuube em sen wit?"
111:2	"xiel, tu et xik i xe vok ova "mir rakm fis nilel""
111:3	"ya ya, non xam sen tyu, etto"
111:5	"tixante?"
111:8	"pent, an leev fal im tu man bekka kekl an"
111:9	"hqm, tu et hao xel tales wit a hacn kokko noi im melselnian e"
111:11	"anpent, xion san. an xant van anse im kest. son andoova"
111:23	"le et to?"
111:24	"papx, haas non rensat"
111:26	"ya, papx et les apia selal o palt. a, tee, tu et xif xalt tyu"
111:27	"mm?"
111:28	"fis, passo,? fis et melsel. kit e... tee, xif me. aa, rens ax to eyo..."
111:29	"fis, fis"
111:30	"kest"
112:1	kest
112:2	kest
112:4	fisfis
112:6	"toxel"toxel
112:7	papxfisfispapx
112:18	"luan et soom. pit e deem"
112:20	"i lank, velm, erva, satii, teeve, beezel, ilva, part"
112:29	velmerva
112:30	satii
112:31	teevebeezelilvapart
112:32	"soom et ne?"
113:1	"deem"
113:2	"deem et ne?"
113:3	"yulian e teems"
113:5	"mm... yulian et ne?"
113:6	"en ne tet to. yulian et les el livl. a... vat"
113:7	xitexite
113:15	"son, luan et ne?"
113:16	"luan et lantis. lantis et mei t'axet"
113:18	"mei et to? ne?"
113:19	"to, et tia. saa, mei et... a..."
113:20	"tu et xite, pit e seim"
113:21	"pit et to?"
113:22	"aa, miik et vank. reb tan et vank"
113:23	"ya, ya"
113:24	"son, miik et pit e vank"
113:25	pitseim
113:26	hat
113:29	"erva et mei e soom. yan soom et pit e seim"
114:5	"mm, son lantis et mei e axet"
114:6	"ya. tal tyu rens ax mei t'axet"
114:8	"ol vet iten vesto, el yol en ee tet tes. ova... qm... faal t'axte o faal e flea"
114:10	"qm...lena en til est l'et kit i vesto nya.... ova... ova... elen"
114:13	"zam"
114:15	"yan tu et zam t'elen"
114:18	"zam"
114:20	"tu et zam e lein. zam eeeee lein"
114:23	etet
114:25	"see tu et zam e
114:26	skil"
114:29	te
115:1	t
115:4	son axet et to?
115:5	"axe le vasat teems im ordin"
116:2	ridia
116:2	dia
116:4	raldura
116:5	ral
116:6	rava
116:6	rav
116:7	enna
116:7	len
116:8	ovi
116:8	vio
116:9	zana
116:9	zan
116:11	umtona
116:12	tan
116:13	axx
116:13	lax
116:14	kliiz
116:14	lis
116:15	paal
116:15	pal
116:17	gil
116:17	gil
116:18	milf
116:18	mik
116:20	liine
116:20	lin
116:21	relezona
116:22	rez
116:25	neene
116:25	nen
116:26	pinena
116:27	pin
116:29	fulmiia
116:30	ful
116:31	faava
116:31	fav
116:32	jiil
116:32	jil
116:33	mat
116:33	mat
116:35	ryuu
116:35	dyu
116:37	ruuj
116:37	ruj
116:38	lina
116:38	din
116:40	kunon
116:40	kun
116:41	mel
116:41	mel
116:43	seren
116:43	ser
116:45	eketone
116:46	ket
116:48	kmiir
116:48	mir
116:61	myuxet, axet, teems
117:5	"tu et salt"
117:6	"yan tu et xelt"
117:7	"sol tu et adia"
117:10	lein, son tu sel et... a... il salt?
117:11	"ep? a, tyu rens lan total salt til sel e teems sete? mano soa, son evit"
117:13	"1 sel tat 4 salt"
117:23	"xion, tyu in lan tant?"
117:24	"tant?"
117:25	pottant
117:27	"ya"
117:28	"xom, kor xiit"
117:30	"font"
118:1	"son, lena lukor font, tia?"
118:2	"ya, tia"
118:3	lukorlukor
118:7	lukluk
118:9	or
118:12	oror
118:17	"lena lukor a to?"
118:18	"tee tee, en to tet am. lena koror am,? et tia"
118:19	"ya"
118:20	"alna"
118:21	alna
118:22	"hm... lu alnas ranel eyo..."
118:23	"son, koror am?"
118:24	"mm... fis, fral ate et is mil melsel. son xelk frem atu"
118:26	"to?"
118:28	kaxakaxa
118:29	"kaxa? tyu in lan tu?"
119:1	non et am?
119:2	"lena xa atu. in, tu et ra lenan"
119:7	"tu et kacte, le lena korat"
119:11	"kacte et to?"
119:12	"sokl ha...kai alka e xial"
119:13	alka et to?
119:15	"lu et sor alka"soralka
119:18	"son lu et sor en alka, ya?"
119:19	"haan, tyu ser lan aven sete. lu et sor aven"
119:20	aven
119:21	"son, xial et to?"
119:22	"xial et ova arna"
119:23	"ova?"
119:24	"a... ova e vank et miik, lisik, reb"
119:26	sokl et to?
119:27	"ova kacte"
119:30	"sea"
120:17	"non siina miik"
120:18	"a, ya? non tan so"
120:21	"lein, non miks lan"
120:22	"a, ya? miks to? non ter lan tu. xom leev"
120:23	"a, tee tee, non ser lan arka"
120:24	"mm... tyu ser lan to vet?"
120:29	"n...non en siina arka"
120:30	"aa""soa nanna. tu et kin xalt mextan na"
121:2	"non ...en siina tyu!"
121:3	"ep?? lala es?"
121:5	"lala es? tu et to?? tu et to?? non laxat tu. non siina tyu. non siina tyu!"
121:7	"a, tyu solsat lan non rens "es" ul "lala" sete. lala ul es?"
121:8	"mm? ul et to? pit e az?pit t'az?"
121:9	az
121:10	ul
121:12	azul
121:13	azul
121:18	"es et to?"
121:19	"el yol es im ser lan man"
121:22	"lein, es tyu siina miik?"
121:23	"mi...man tu et atx"
121:25	es
122:5	"saa, lena kolt xiit"
122:21	"sent"
122:22	"tee, seere"
122:28	"xion, xen xiit harx halm"
122:30	harx
123:1	"lena xenat pof, fapx, xakn sete?"
123:2	"ya"
123:3	"le et faax"
123:4	"alna, son, tur, harx sete?"
123:5	"ya, lulu, tyu maisik "sete" tatta alk ter"
123:6	"mm?"
123:7	"vinsa, xi harx, xom cuux"
123:9	"faax, harx, cuux..."
123:11	"cuux et xi harx"
